Vivado Simulator 2019.2
Time resolution is 1 ps
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
WARNING: Behavioral models for independent clock FIFO configurations do not model synchronization delays. The behavioral models are functionally correct, and will represent the behavior of the configured FIFO. See the FIFO Generator User Guide for more information.
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_core.inst.genblk2[0].brams.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_core.inst.genblk2[1].brams.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_core.inst.genblk2[2].brams.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_core.inst.genblk2[3].brams.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_core.inst.genblk2[4].brams.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_core.inst.genblk2[5].brams.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_core.inst.genblk2[6].brams.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_core.inst.genblk2[7].brams.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_4 collision detected at time: 6320000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6340000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6360000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6380000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6400000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6420000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6440000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6460000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6480000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6500000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6520000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6540000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6560000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6580000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6600000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6620000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6640000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6660000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6680000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_4 collision detected at time: 6700000, Instance: ACF_AXI_tb.DUT.AutoCorrelationFunction_v1_0_S00_AXI_inst.acf_data.inst.native_mem_module.blk_mem_gen_v8_4_4_inst, A write address: 0, B read address: 0
